"R0.1" "R0.2" "Reffs.1" "Reffs.2" "Reffs.3" "Reffs.4" "Reffs.5" "Reffs.6" "seeds" "error1s_ov" "error2s_ov" "errors1_rest" "errors2_rest"
"48" 5.61969542377942 3.38951868081371 1.06176039516585 0.700703727975798 1.4477935147962 1.38516710338775 0.500084546083379 1.67220468153001 1654549973.01684 2130 0.390743091494971 6599 5.91192266380236
"49" 6.29592569687055 3.224075094458 1.05443841796682 0.719091844947985 0.63768399938819 1.28666182351919 0.511080880149626 0.056546281291837 1654214577.21712 2133 0.390860267551997 6603 5.9371741040914
"50" 5.53719422649568 3.19187782780483 1.06832803647063 0.720944488101567 0.744409479310521 1.36450549939719 0.497268817142731 0.753591314034844 1654378312.62813 2138 0.391153207694561 6603 5.97810760667904
"51" 4.93486916647255 3.41638263394591 1.08397785563034 0.69797218055142 2.28270831661354 1.42580236329406 0.513120365446543 1.6903783246977 1654750336.06865 2139 0.392832731178596 6607 6.03267259056734
"52" 5.5843505755092 3.90380169141809 1.04315070169451 0.709906536634188 1.51417319059579 1.35589840145386 0.505499097490847 1.0682287567285 1653956758.31034 2141 0.396992481203008 6610 6.04886241577972
"53" 5.57690606892779 3.466853981597 1.08654781178646 0.705504422960036 0.631801572004285 1.4204230601166 0.485948955005605 1.47194661784483 1653993406.05887 2141 0.397090127917195 6614 6.07764866712235
"54" 5.70667950792616 3.35628444058483 1.07828087660296 0.712995574821716 1.12813648083404 1.30717516585002 0.519401182475832 0.0729660370441417 1654156638.97977 2144 0.397949419002051 6614 6.08555805097159
"55" 5.49565545926801 3.3764266580222 1.00467613861476 0.739831121790383 0.20977391389563 1.41862417765031 0.463357434750289 0.0700351680546642 1654265916.66453 2149 0.398789180744068 6616 6.12649155355923
"56" 5.06593302136114 3.29066263083976 1.17120606223751 0.661609963600878 1.96617413353632 1.36089023933077 0.486697185322923 1.08628919782972 1654650829.74366 2151 0.400273410799727 6620 6.13229176838199
"57" 5.67162897166043 2.9701254810005 1.12280898316563 0.702649798936059 1.44788281359279 1.32109858284337 0.511430179504421 1.45768847298009 1654633294.48422 2152 0.403163753539693 6626 6.13572893272142
"58" 5.04327605782467 3.35414569599069 1.10185370819191 0.707952025393355 1.23714929207225 1.35834964621998 0.511978864696395 0.372807081316513 1654491484.1352 2152 0.404023044624549 6630 6.14566936822577
"59" 4.97276685223008 3.89796143346303 1.01494222154223 0.717780278459338 0.0440969443442247 1.5290501482129 0.482782973854202 0.264280160901143 1654627415.31511 2153 0.405351039937506 6634 6.15033688116396
"60" 5.46331533058989 3.66294392656041 1.02942808401819 0.739721104214409 1.86733884355805 1.35631698977662 0.490386709414441 1.29885918677041 1654806079.07084 2154 0.407479738306806 6635 6.15773850209941
"61" 5.02015014143307 3.52276169613438 1.06920662599498 0.733585285101655 0.1770898111656 1.48620361601179 0.470143890288406 1.6425819675171 1654502078.03446 2155 0.408007030563422 6639 6.15838297041305
"62" 5.05027576516236 3.7718164952716 1.00150444119986 0.717115120937335 0.364918494917669 1.42564728571081 0.509361676412632 0.48533235728562 1654721659.0328 2156 0.410702079875012 6640 6.17150668879993
"63" 5.40548907011827 2.72303553535139 1.09206080063126 0.731682077645873 1.30925150598738 1.3783540196099 0.498459543187937 0.463688421813874 1654010843.09165 2156 0.410838785274875 6648 6.20345669368226
